filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
strawberry guy - mrs magic.wav,-96.03836,138.7451,-15.113699,33.339424,-3.4636014,5.1542697,-4.1761603,-1.463383,-3.014446,-0.46315593,-4.4045777,-0.16248184,-8.385147,-4.7052236,-4.0079937,-1.5556183,-5.833235,0.65785736,-5.154948,-3.306888
inside out - duster.wav,-122.225525,178.94028,-11.22734,38.99299,-5.554279,24.530329,3.3692145,2.487202,-2.5529752,3.3364575,-8.639162,-3.1709023,-1.6380186,-0.6485963,-5.159982,-3.0094273,-6.171276,-11.166142,-8.183587,-5.0491114
system of a down - toxicity.wav,-58.41145,80.49588,-15.167278,32.308743,6.5158067,11.966914,6.6208286,7.6788955,2.8155193,6.2462254,0.13204034,4.660112,-4.6661077,-2.7502477,-2.0047848,4.081448,-5.110903,1.0780348,0.22493006,0.06950423
numb - linkin park.wav,-5.476403,82.110085,-12.0675745,20.811234,1.0451065,6.354543,-1.4341778,6.1740074,2.163634,6.482543,1.8323354,4.661848,-0.48867232,3.2078602,-2.1521347,3.6401727,-1.369867,5.3629117,2.4179523,6.320161
the ghost of you - mcr.wav,-21.386084,86.529724,-14.834816,18.575758,-5.2352915,7.5490055,0.3990962,3.3959193,1.6579238,6.7546153,1.9378562,2.098393,-1.7018722,0.5513346,-2.9618244,1.0512261,-5.3179255,2.801718,0.002751349,4.899832
strawberry guy - birch tree.wav,-103.842354,121.22421,12.301569,31.882488,13.564575,15.95761,-1.9054981,-6.698568,-5.216472,6.892385,-10.779245,-4.1462693,-5.8483915,5.044326,-0.99581647,-4.2188244,-4.5403275,6.54422,-5.8147407,0.9508647
lonely day - system of a down.wav,-65.21571,96.522736,-17.84123,33.24884,-0.13662338,2.9250293,-1.448994,-5.3694706,-5.5430636,7.5680566,0.7105588,2.425308,-4.626604,-4.0902715,-8.707311,0.38541445,-5.4756074,-2.121269,-3.4866948,-2.0583246
i_hate_everythings_about_you.wav,-44.2441,92.68377,-11.458542,34.7395,5.111871,8.245869,3.2679646,5.7853575,4.0083704,3.7308095,0.5742976,5.251251,-3.7236784,-0.73658943,-2.7643318,1.7683401,-3.2082028,0.5010857,-4.344357,-1.3826958
safe in your skin - title fight.wav,-153.52304,143.11313,-26.635105,39.82119,6.2473626,0.057561964,-0.49178118,-1.0763087,-7.0415335,-2.197398,-3.7346654,-0.7596687,-7.506719,-5.200064,-5.259324,-4.8484125,-6.856058,-6.1606245,-1.4551692,0.7234424
show_me_how.wav,-193.32927,154.7648,34.276825,29.800833,12.787647,2.7540824,3.7837794,3.931211,0.5053843,1.3721701,-0.8015487,5.9640665,-2.4532793,0.6264381,-4.078847,0.6402291,-3.5893946,-5.016904,-4.520374,-0.8098545
