genre,filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
rock,My Chemical Romance - Helena_rock.wav,16.26404,82.05452,-18.964973,31.504221,-7.4701176,9.267018,-0.80707806,5.3926325,3.5228171,4.9584336,0.980509,3.4784467,-3.1750512,0.15559824,-3.8531897,3.6224313,-4.905535,3.2656565,1.4255128,1.6525671
rock,Linkin Park - Faint_rock.wav,1.2127385,66.95791,-27.626919,16.600647,-1.9843439,2.864625,0.49563915,3.057845,-0.5151092,1.0625825,-3.0129561,0.9750483,-6.9620647,-0.025937688,-3.9068067,4.4415,-2.3205378,1.0816282,-1.5772482,-3.5880806
indie,Cigarettes After Sex - Pistol_indie.wav,-150.87923,152.58629,22.813627,8.407517,2.9307332,13.484318,4.8242707,2.172454,-0.39645997,2.7841213,3.757973,1.3788761,-1.3625166,0.7163437,0.12505166,1.4158994,-0.88191986,0.30015832,-8.061026,0.5705531
indie,Mac DeMarco - Heart To Heart_indie.wav,-275.75732,147.51529,51.255478,36.857113,15.217836,10.069254,6.83166,8.4546175,4.9577823,4.924383,3.621634,-0.7533128,-4.1092606,-0.47717974,-1.795944,1.7206228,-0.38340864,2.472147,-4.0220413,-0.64029294
indie,Cigarettes After Sex - Dark Vacay_indie.wav,-152.27559,144.02357,21.892942,8.657355,7.212763,13.635048,4.208391,3.3353612,0.015522383,7.4582043,2.6892207,0.46350548,-3.787521,-0.25884923,-2.4600873,-0.74713,-4.687802,-1.338765,-10.093221,-1.4092112
indie,Mac DeMarco - K_indie.wav,-278.7734,110.829926,15.059652,35.759052,22.05084,29.981802,16.071144,3.2131586,-6.2006,-0.042564504,-0.30048126,-3.14557,-8.429723,-4.5619216,-4.0729504,-8.108526,-7.1493397,-1.7251071,-9.802333,-3.1881232
indie,Cigarettes After Sex - Heavenly_indie.wav,-106.40728,131.59175,28.555235,20.724825,7.8168526,8.735906,-2.1322823,3.4061344,-0.8746446,2.3929162,-1.1061108,0.7291434,-2.304298,2.2865348,-0.19894487,-3.3554003,-2.1966581,-1.5412422,-2.431094,0.6726342
indie,Mac DeMarco - Chamber of Reflection_indie.wav,-116.99965,126.56423,8.333749,6.319855,0.92347085,18.259712,9.362016,8.253796,-4.7488837,-0.43660572,-3.469905,0.20638375,-3.8958547,1.6832017,-2.0989249,0.88863194,-3.7779617,3.706672,0.31857252,6.9373507
rock,Linkin Park - What I've Done_rock.wav,-39.517265,69.50028,-6.2307262,30.427105,-2.2917802,6.909749,-2.2548225,8.074035,1.3579457,6.456526,-1.5303591,5.575761,-4.4098153,-1.635112,-7.157349,-3.310518,-5.8318944,3.3660502,-0.95884925,-0.87469655
rock,Linkin Park - Crawling_rock.wav,-47.3601,85.33507,-18.66748,18.219154,4.1470456,5.5992126,5.546099,9.138783,4.259643,6.499003,-0.9166469,2.7057106,-4.307698,1.0222224,-3.6901584,2.3184798,-1.9521483,4.4440603,-2.1978781,0.88459563
rock,My Chemical Romance - I'm Not Okay (I Promise)_rock.wav,18.743599,76.83486,-17.704659,26.342726,-6.990019,8.917631,1.8163952,10.05197,0.9433783,5.8812304,-0.5785749,5.7824116,-0.46402937,2.018163,-3.03542,5.4367533,-3.7024822,4.325049,1.0381712,0.656958
rock,My Chemical Romance - You Know What They Do to Guys Like Us in Prison_rock.wav,2.0816665,80.91054,-5.8555703,24.564941,1.7429153,10.505448,5.020495,9.181355,2.2022703,5.864081,0.034257807,4.7642903,-3.3708518,3.0320642,-2.8747556,3.8316169,-3.2152543,3.7264848,-0.93549997,0.56264675
